sample_id,smiles,split,n_heavy_atoms
zinc-e26084424997491c,CS(=O)(=O)OC1C[NH+]2CCC1CC2,train,13
zinc-41d86ffe61cee549,CCC1=CC=C(C=C2C(=O)NC3=CC=CC=C32)C=C1,train,19
zinc-1e148a36530ecfdc,O=C([O-])C1CCC2CCCCC2[NH+]1C1CS(=O)(=O)CC1O,train,21
zinc-5b61da6d5f632ffa,CC1=C(C(=O)N2CCC(C)C(O)C2)SC=N1,train,16
zinc-9644b283e9ab5d39,COC1=CC=C(C2COC3=CC(O)=C(O)C=C3C2)C=C1,train,20
zinc-beaf87a8a0ce18a9,COC1=CC=C(C2CC(C)[NH+](CC3=CC=CC=C3NC(C)=O)C2)C=C1,train,25
zinc-e51b16df25f3a082,CN(C)C(=O)CNC(=O)NC(C)(C)CC(C)(C)C,train,18
zinc-6cd2a31057deb7c4,CC1=CC(C(=O)NC2=CC=CC=C2N2CC(C)OC(C)C2)=NN1C,train,24
zinc-1077ee1256f74a80,CC1=NOC(C2=CN=C(NCCCN3CCOCC3)N=C2C2=CC=CO2)=C1C,train,28
zinc-230d02a2f415937a,C[NH+]1CCCN(CC2C[NH+](CC3=CC=C(F)C(F)=C3F)CC2CO)CC1,train,26
zinc-75b1e325a4e30a5e,CCC(C(=O)N1CC(C2=CC=C(OC)C=C2)CC1C)C1=C(C)ON=C1C,train,26
zinc-96710f38b423743c,COC1=CC(F)=CC(CNC(=O)N2CCOC3(CCOCC3)C2)=C1,train,24
zinc-c9dcde589b34d654,CCOC(=O)C1NNC(C(=O)C2(C)CO2)=C1C1=CC=CC([N+](=O)[O-])=C1,train,25
zinc-dda198cbded22e3d,O=C(NC1=CC=C(F)C=C1Cl)C1=CC=C(F)C=C1,train,18
zinc-e1d426041b95ff88,CC(C)(C)C1=CC=C(C(O)CNC(=O)CC(O)C2=CC=CC=C2)C=C1,train,25
zinc-71f045fbc3faf6b1,CCN(CC1=NC2=CC=CC=C2C(=O)N1)C(=O)C1=CC=C(C2=CC=CC=C2)C=C1,train,29
zinc-8b3016f3da9d0546,CC1CCCC(CN2CCS(=O)(=O)CC2)C1,train,16
zinc-1aaea89b7bdecd13,O=C([O-])C1CCCCN1C(=O)CCl,train,13
zinc-ff41bb9b8ab6a3d5,O=C(NCCSCC1=CC=CO1)C1=CC=C(Cl)C=C1Cl,train,20
zinc-31216fe592831fe7,CC1=CC=C(NC(=O)CSC2=CC=C(C3=CC=CC=N3)N=N2)C=C1Cl,train,25
zinc-de6373d018bc3e6e,O=C(N1CCCC(COC2=CC=C(F)C=C2)C1)C1(CN2C=CC=N2)CC1,train,26
zinc-be20fa6cec8a4ffa,CCCNC(=O)CCNC(=O)NCC1=NC=CC2=CC=CC=C21,train,23
zinc-30849c75a25d0675,CC(NC(=O)C1CCN(C2=CC=CC=C2[N+](=O)[O-])CC1)C(N)=O,train,23
