source_run,experiment,condition,method,seed,target,delta_s,steps,samples,valid_samples,validity_percent,connected_samples,connected_percent,radical_free_samples,radical_free_percent,connected_radical_free_samples,connected_radical_free_percent,terminal_valence_complete_samples,terminal_valence_complete_percent,terminal_gate_relaxation_samples,terminal_gate_relaxation_percent,mean_terminal_gate_deleted_categories,strict_vthr_samples,strict_vthr_percent,unique_valid_samples,uniqueness_percent,property_mae,property_hit_percent,vthr_percent,final_capacity_violation_percent,path_capacity_violation_percent,mean_actual_nfe,fallback_samples,conflict_bin_percent,conflict_molecule_percent,mean_excess_capacity,novelty_percent,mean_logp
results\runs\paper\figure3\q50_seed2027.json,figure3,q50,VaDGM,2027,2.1893000000000002,0.25,,10000,10000,100.0,9150,91.5,9997,99.97,9150,91.5,9997,99.97,3,0.03,197.7511,2322,23.22,10000,100.0,1.2469680439999997,25.42,25.42,0.0,0.0,19.7586,0,0.13158827042401788,2.48,1.0884615384615384,100.0,2.3655960540000014
results\runs\paper\figure3\q50_seed2028.json,figure3,q50,VaDGM,2028,2.1893000000000002,0.25,,10000,10000,100.0,9143,91.43,9996,99.96,9143,91.43,9996,99.96,4,0.04,198.123,2324,23.24,10000,100.0,1.2273234509999968,25.42,25.42,0.0,0.0,19.7723,0,0.13655467497458565,2.58,1.1296296296296295,100.0,2.3505834310000013
results\runs\paper\figure3\q50_seed2029.json,figure3,q50,VaDGM,2029,2.1893000000000002,0.25,,10000,10000,100.0,9157,91.57,9998,99.98,9157,91.57,9998,99.98,2,0.02,197.8753,2297,22.97,10000,100.0,1.248232477000001,25.11,25.11,0.0,0.0,19.7863,0,0.12635005028732002,2.39,1.116,100.0,2.3511160750000015
results\runs\paper\figure3\q90_seed2027.json,figure3,q90,VaDGM,2027,3.9149840000000027,0.25,,10000,10000,100.0,9176,91.76,9996,99.96,9176,91.76,9996,99.96,4,0.04,205.0901,2187,21.87,10000,100.0,1.3160542627999998,23.9,23.9,0.0,0.0,20.29,0,0.15919172005914242,3.14,1.0959752321981424,100.0,3.111615002000002
results\runs\paper\figure3\q90_seed2028.json,figure3,q90,VaDGM,2028,3.9149840000000027,0.25,,10000,10000,100.0,9213,92.13,9998,99.98,9213,92.13,9998,99.98,2,0.02,205.3833,2251,22.51,10000,100.0,1.3084055068000027,24.61,24.61,0.0,0.0,20.2787,0,0.15780104247313684,3.13,1.1109375,100.0,3.132210308000002
results\runs\paper\figure3\q90_seed2029.json,figure3,q90,VaDGM,2029,3.9149840000000027,0.25,,10000,10000,100.0,9139,91.39,9996,99.96,9139,91.39,9996,99.96,4,0.04,205.557,2178,21.78,10000,100.0,1.3156362039999985,23.95,23.95,0.0,0.0,20.3137,0,0.16885156323072606,3.35,1.1253644314868805,100.0,3.1533025080000017
results\runs\paper\figure4\delta_0p0625_seed2027.json,figure4,delta_s=0.0625,VaDGM,2027,3.349184000000002,0.0625,,10000,10000,100.0,9085,90.85,10000,100.0,9085,90.85,10000,100.0,0,0.0,202.0672,2633,26.33,10000,100.0,1.098100376800003,28.91,28.91,0.0,0.0,55.2486,0,0.003801001292340439,0.19,1.0476190476190477,100.0,3.0622996600000016
results\runs\paper\figure4\delta_0p0625_seed2028.json,figure4,delta_s=0.0625,VaDGM,2028,3.349184000000002,0.0625,,10000,10000,100.0,9025,90.25,9999,99.99,9025,90.25,9999,99.99,1,0.01,202.215,2600,26.0,10000,100.0,1.100862729000002,29.01,29.01,0.0,0.0,55.28,0,0.004341534008683068,0.24,1.0,100.0,3.0630245570000016
results\runs\paper\figure4\delta_0p0625_seed2029.json,figure4,delta_s=0.0625,VaDGM,2029,3.349184000000002,0.0625,,10000,10000,100.0,9030,90.3,10000,100.0,9030,90.3,10000,100.0,0,0.0,202.1169,2612,26.12,10000,100.0,1.1149642966000028,28.79,28.79,0.0,0.0,55.2792,0,0.005065196312537085,0.28,1.0357142857142858,100.0,3.0328449990000017
results\runs\paper\figure4\delta_0p125_seed2027.json,figure4,delta_s=0.125,VaDGM,2027,3.349184000000002,0.125,,10000,10000,100.0,9108,91.08,10000,100.0,9108,91.08,10000,100.0,0,0.0,202.2084,2616,26.16,10000,100.0,1.1147427536000019,28.7,28.7,0.0,0.0,33.6766,0,0.029694209035353924,0.99,1.07,100.0,3.021828140000002
results\runs\paper\figure4\delta_0p125_seed2028.json,figure4,delta_s=0.125,VaDGM,2028,3.349184000000002,0.125,,10000,10000,100.0,9069,90.69,9997,99.97,9069,90.69,9997,99.97,3,0.03,202.6296,2544,25.44,10000,100.0,1.1255757802000002,28.3,28.3,0.0,0.0,33.6965,0,0.03056697283100619,1.0,1.1262135922330097,100.0,3.005454599000002
results\runs\paper\figure4\delta_0p125_seed2029.json,figure4,delta_s=0.125,VaDGM,2029,3.349184000000002,0.125,,10000,10000,100.0,9079,90.79,10000,100.0,9079,90.79,10000,100.0,0,0.0,201.7231,2602,26.02,10000,100.0,1.1276250193999988,28.33,28.33,0.0,0.0,33.6989,0,0.0329387606123642,1.11,1.09009009009009,100.0,3.0038627370000017
results\runs\paper\figure4\delta_0p5_seed2027.json,figure4,delta_s=0.5,VaDGM,2027,3.349184000000002,0.5,,10000,10000,100.0,9306,93.06,9982,99.82,9306,93.06,9982,99.82,18,0.18,201.457,2379,23.79,10000,100.0,1.2223385216000044,25.59,25.59,0.0,0.0,11.9541,0,0.7788122903438988,8.9,1.2094522019334049,100.0,2.9413578780000016
results\runs\paper\figure4\delta_0p5_seed2028.json,figure4,delta_s=0.5,VaDGM,2028,3.349184000000002,0.5,,10000,10000,100.0,9248,92.48,9993,99.93,9248,92.48,9993,99.93,7,0.07,201.6905,2417,24.17,10000,100.0,1.2285254732000042,26.03,26.03,0.0,0.0,11.9588,0,0.7542562798943038,8.62,1.210088691796009,100.0,2.9041940640000017
results\runs\paper\figure4\delta_0p5_seed2029.json,figure4,delta_s=0.5,VaDGM,2029,3.349184000000002,0.5,,10000,10000,100.0,9284,92.84,9979,99.79,9284,92.84,9979,99.79,21,0.21,201.2135,2397,23.97,10000,100.0,1.221676932600002,25.99,25.99,0.0,0.0,11.9693,0,0.7995455039141804,9.04,1.2147335423197492,100.0,2.902064191000002
results\runs\paper\table1\capacity_q80_seed2027.json,table1,q80,VaDGM (capacity-only),2027,3.349184000000002,0.25,,10000,10000,100.0,7868,78.68,2936,29.36,2594,25.94,2936,29.36,0,0.0,0.0,821,8.21,10000,100.0,1.0141615521999983,31.12,31.12,0.0,0.0,19.4579,0,6.704731754197524,75.34,1.249500485461701,100.0,2.788948063000001
results\runs\paper\table1\capacity_q80_seed2028.json,table1,q80,VaDGM (capacity-only),2028,3.349184000000002,0.25,,10000,10000,100.0,7899,78.99,2807,28.07,2468,24.68,2807,28.07,0,0.0,0.0,794,7.94,10000,100.0,1.0097694258000005,31.31,31.31,0.0,0.0,19.4598,0,6.729771117894326,75.14,1.256771787823254,100.0,2.8025404990000014
results\runs\paper\table1\capacity_q80_seed2029.json,table1,q80,VaDGM (capacity-only),2029,3.349184000000002,0.25,,10000,10000,100.0,7834,78.34,2944,29.44,2598,25.98,2944,29.44,0,0.0,0.0,828,8.28,10000,100.0,1.0052529756000028,32.15,32.15,0.0,0.0,19.4698,0,6.735559687310604,75.37,1.2657414467998587,100.0,2.8156078740000017
results\runs\paper\table1\vadgm_q80_seed2027.json,table1,q80,VaDGM,2027,3.349184000000002,0.25,,10000,10000,100.0,9133,91.33,9995,99.95,9133,91.33,9995,99.95,5,0.05,201.9453,2534,25.34,10000,100.0,1.1595056721999988,27.48,27.48,0.0,0.0,20.11,0,0.15862754848334162,3.11,1.09717868338558,100.0,2.962128287000002
results\runs\paper\table1\vadgm_q80_seed2028.json,table1,q80,VaDGM,2028,3.349184000000002,0.25,,10000,10000,100.0,9143,91.43,9997,99.97,9143,91.43,9997,99.97,3,0.03,202.0752,2547,25.47,10000,100.0,1.152816746800003,27.79,27.79,0.0,0.0,20.119,0,0.13271037327899002,2.63,1.146067415730337,100.0,2.9664020580000017
results\runs\paper\table1\vadgm_q80_seed2029.json,table1,q80,VaDGM,2029,3.349184000000002,0.25,,10000,10000,100.0,9159,91.59,9999,99.99,9159,91.59,9999,99.99,1,0.01,201.8542,2559,25.59,10000,100.0,1.1671767629999965,27.62,27.62,0.0,0.0,20.1255,0,0.15651785048818662,3.02,1.1222222222222222,100.0,2.9638465110000016
results\runs\paper\table1\vanilla_q80_seed2027.json,table1,q80,Vanilla DGM,2027,3.349184000000002,,128,10000,8481,84.81,7161,71.61,5353,53.53,4679,46.79,5352,53.52,0,0.0,0.0,1664,16.64,8481,100.0,0.8912760143850977,35.39676924890933,30.02,15.2,,128.0,0,,,,100.0,2.9027912121212136
results\runs\paper\table1\vanilla_q80_seed2028.json,table1,q80,Vanilla DGM,2028,3.349184000000002,,128,10000,8438,84.38,7122,71.22,5307,53.07,4673,46.73,5305,53.05,0,0.0,0.0,1674,16.74,8438,100.0,0.8755597873903794,36.45413605119697,30.76,15.67,,128.0,0,,,,100.0,2.9029985980090083
results\runs\paper\table1\vanilla_q80_seed2029.json,table1,q80,Vanilla DGM,2029,3.349184000000002,,128,10000,8457,84.57,7128,71.28,5325,53.25,4658,46.58,5323,53.23,0,0.0,0.0,1636,16.36,8457,100.0,0.8822411855267881,35.88743053092113,30.35,15.46,,128.0,0,,,,100.0,2.91866635804659
results\runs\paper\table2\no_terminal_phase_q80_seed2027.json,table2,q80,VaDGM (no terminal atom phase),2027,3.349184000000002,0.25,,10000,10000,100.0,7897,78.97,3079,30.79,2726,27.26,3079,30.79,6921,69.21,11.6907,853,8.53,10000,100.0,1.0075171702000039,31.16,31.16,0.0,0.0,19.4579,0,6.7484158105448175,75.04,1.2524382504505884,100.0,2.8185094330000013
results\runs\paper\table2\no_terminal_phase_q80_seed2028.json,table2,q80,VaDGM (no terminal atom phase),2028,3.349184000000002,0.25,,10000,10000,100.0,7804,78.04,3029,30.29,2634,26.34,3029,30.29,6971,69.71,11.563,808,8.08,10000,100.0,1.02439112,30.55,30.55,0.0,0.0,19.4598,0,6.87828240783564,76.68,1.2553193873739266,100.0,2.7874304420000016
results\runs\paper\table2\no_terminal_phase_q80_seed2029.json,table2,q80,VaDGM (no terminal atom phase),2029,3.349184000000002,0.25,,10000,10000,100.0,7913,79.13,3094,30.94,2734,27.34,3094,30.94,6906,69.06,11.5378,835,8.35,10000,100.0,1.0114376287999993,31.42,31.42,0.0,0.0,19.4698,0,6.754563477796382,75.74,1.2595442678630275,100.0,2.8260244200000018
